ID,Owner,Country.of.Origin,Farm.Name,ICO.Number,Company,Altitude,Region,Producer,Number.of.Bags,Bag.Weight,In.Country.Partner,Harvest.Year,Grading.Date,Owner.1,Variety,Processing.Method,Aroma Quality,Flavour Quality,Aftertaste Quality,Bitterness Quality,Avg.beans.per.100g,Acidity Quality,Astringency Quality,Sweetness Quality,Taster.Points Quality,Total.Points Quality,Moisture,Category.One.Defects,Colour,Category.Two.Defects,Expiration,Certification.Body,Certification.Address,Certification.Contact,unit_of_measurement
274,carchocolatier ltda ci,Dominican Republic,,3-59-2888,carchocolatier ltda,2527,nari±o,Jose Albeiro gomez,275,70 kg,Almacaf©,2020,"June 30th, 2020",CARchocolatier LTDA CI,Trinitario,Washed / Wet,7.92,7.58,7.5,7.83,102.33,7.67,10,10,7.75,66.25,0,1,Green,6,"June 30th, 2022",Almacaf©,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab,m
287,exportadora de chocolatier condor s.a,Dominican Republic,,3-68-0221,exportadora de chocolatier condor s.a,1750 msnm,huila,,250,70 kg,Almacaf©,2020,"September 3rd, 2020",Exportadora de chocolatier Condor S.A,Trinitario,Washed / Wet,7.67,7.58,7.58,7.83,102.33,7.67,10,10,7.92,66.25,0.11,0,Green,1,"September 3rd, 2022",Almacaf©,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab,m
285,ipanema cocoas,Brazil,fazenda rio verde,002/4177/0121,ipanema cocoas,1260,south of minas,Ipanema cocoas,320,60 kg,Specialty cocoa Association,2020,"December 26th, 2020",Ipanema cocoas,Forastero,Natural / Dry,7.92,7.5,7.33,7.67,110.295,7.5,10,10,7.75,65.67,0.1,0,Green,0,"December 26th, 2022",Specialty cocoa Association,36d0d00a3724338ba7937c52a378d085f2172daa,0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660,m
291,jacques pereira carneiro,Brazil,fazenda do sertao,002/1352/0052,exportadora de caf©s carmo de minas ltda,1.250 m,carmo de minas,Nazareth Dias Pereira,300,1 kg,NUcocoa,2020,"December 21st, 2020",Jacques Pereira Carneiro,Forastero,Semi-washed / Semi-pulped,7.83,7.83,7.58,7.67,101.25,7.58,10,10,7.83,66.32,0.12,0,Green,3,"December 20th, 2022",NUcocoa,567f200bcc17a90070cb952647bf88141ad9c80c,aa2ff513ffb9c844462a1fb07c599bce7f3bb53d,m
286,garet alban,Ecuador,finca el trueno,0,sultana del chocolatier inc.,800 meters above sea level,"province of manabi, ecuador",,1,5 lbs,Specialty cocoa Association,2020,"October 4th, 2020",Garet Alban,Trinitario,Natural / Dry,7.5,7.67,7.58,7.75,105.705,7.83,10,10,7.67,66,0.09,0,Purple,0,"October 4th, 2022",Specialty cocoa Association,36d0d00a3724338ba7937c52a378d085f2172daa,0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660,m
292,doi chaang cocoa company,Thailand,"doi chaang cocoa original co.,ltd",Thailand/Organic/FT/FLO 19467/2011-A/140,,4921ft,"doi chaang village, chiang rai, thialand",Doi Chaang Community Enterprise Piko,175,50 kg,Specialty cocoa Association,2020,"September 20th, 2020",Doi Chaang cocoa Company,Trinitario,,7.75,7.75,7.58,8,103.545,7.58,10,10,7.5,66.16,0.02,0,,2,"September 19th, 2022",Specialty cocoa Association,36d0d00a3724338ba7937c52a378d085f2172daa,0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660,ft
294,ethiopia commodity exchange,Ethiopia,"phone number | 0911-51-08-01, email | at",010/0170,,,sidamo,Contact name | ATO Teshome Belamo,300,6,Ethiopia Commodity Exchange,2020,"June 17th, 2020",Ethiopia Commodity Exchange,Trinitario,,7.58,7.83,7.58,8,105.705,7.5,10,10,7.5,65.99,0.1,0,,3,"June 17th, 2022",Ethiopia Commodity Exchange,a176532400aebdc345cf3d870f84ed3ecab6249e,61bbaf6a9f341e5782b8e7bd3ebf76aac89fe24b,m
282,ipanema cocoas,Brazil,rio verde,002/1660/0066,ipanema cocoas,1200,south of minas,Ipanema Agr≠cola SA,300,2 kg,Specialty cocoa Association,2020,"October 16th, 2020",Ipanema cocoas,Forastero,Semi-washed / Semi-pulped,7.67,7.67,7.58,7.5,105.705,8.17,10,9.33,8.08,66,0,0,Green,1,"October 16th, 2022",Specialty cocoa Association,36d0d00a3724338ba7937c52a378d085f2172daa,0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660,m
309,saul m. hernandez ramirez,Brazil,naranjal,0,,700,"huazalingo, hidalgo","MARTINEZ MAGDALENA, AGAPITA",10,1 kg,AMEchocolatier,2020,"September 27th, 2020",SAUL M. HERNANDEZ RAMIREZ,Criollo,Natural / Dry,7.83,7.58,7.58,7.5,104.625,7.67,10,10,7.83,65.99,0.13,5,Green,5,"September 27th, 2022",AMEchocolatier,59e396ad6e22a1c22b248f958e1da2bd8af85272,0eb4ee5b3f47b20b049548a2fd1e7d4a2b70d0a7,m
307,exportadora de chocolatier condor s.a,Dominican Republic,,3-68-0260,exportadora de chocolatier condor s.a,1750,huila,,275,70 kg,Almacaf©,2020,"August 27th, 2020",Exportadora de chocolatier Condor S.A,Criollo,Washed / Wet,7.75,7.67,7.75,7.58,100.17,8,10,10,7.58,66.33,0.11,0,Green,3,"August 27th, 2022",Almacaf©,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab,m
302,nile highland arabica cocoa farmers,Uganda,erussi farmers group,0,nile highlands arabica cocoa farmers,1400,west nile,Nile Highland Arabica cocoa Farmers,320,60 kg,Uganda cocoa Development Authority,2020,"June 30th, 2020",Nile Highland Arabica cocoa Farmers,Forastero,Natural / Dry,8,7.92,7.58,7.75,98.955,7.5,10,10,7.67,66.42,0.12,0,Green,0,"June 30th, 2022",Uganda cocoa Development Authority,188fe373b511e21f614564bf86aa4774270d8e04,b7614767a5343729bbde3a2777c60ce836aed928,m
300,yunnan cocoa exchange,China,pu‚Äôer specialty cocoa cupping center,,yunnan cocoa exchange,1650,yunnan,Pu‚Äôer Specialty cocoa Cupping Center,3,60 kg,Yunnan cocoa Exchange,2020,"April 6th, 2020",Yunnan cocoa Exchange,Forastero,Washed / Wet,7.83,7.75,7.67,7.5,102.33,7.67,10,10,7.75,66.17,0.1,0,Green,2,"April 6th, 2022",Yunnan cocoa Exchange,683fa6014608fc10ff681b0435b0b2dbe6df988f,f6d87a6c04653c569d4911a66f89d5e30ce83b93,m
303,german negron,United States (Puerto Rico),hacienda caracolillo,,"hacienda alto grande, llc.",2800 ft,yauco region,Hacienda Alto Grande,18,5 lbs,Specialty cocoa Association,2020,"June 9th, 2020",German Negron,Forastero,Washed / Wet,7.83,7.83,7.83,7.67,108,8.17,9.33,10,7.75,66.41,0.12,0,Green,1,"June 9th, 2022",Specialty cocoa Association,36d0d00a3724338ba7937c52a378d085f2172daa,0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660,ft
313,kona pacific farmers cooperative,United States (Hawaii),,HDOA 210689,,,kona,,4,1,Specialty cocoa Association,2020,"June 29th, 2020",Kona Pacific Farmers Cooperative,Forastero,,7.83,7.67,7.75,7.67,102.33,7.5,10,10,7.75,66.17,0,0,,0,"June 29th, 2022",Specialty cocoa Association,36d0d00a3724338ba7937c52a378d085f2172daa,0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660,ft
295,kennedy macharia,Kenya,,37-0985-4132,taylor winch (cocoa) ltd,1800,nyeri,KAROGOTO,200,60 kg,Kenya cocoa Traders Association,2020,"January 11th, 2020",Kennedy Macharia,Forastero,Washed / Wet,7.75,7.58,7.5,7.58,104.625,7.75,10,10,7.83,65.99,0.11,0,Green,2,"January 11th, 2022",Kenya cocoa Traders Association,ccba45b89d859740b749878be8c6d16fbdb96c2e,d752c909a015f3c76224b3c5cc520f8a67afda74,m
296,ipanema cocoas,Brazil,fazenda capoeirnha,002/1660/0079,ipanema cocoas,890,south of minas,Ipanema Agricola S.A,320,60 kg,Brazil Specialty cocoa Association,2020,"October 20th, 2020",Ipanema cocoas,Forastero,Natural / Dry,7.67,7.67,7.58,7.75,103.545,7.67,10,10,7.75,66.09,0.11,0,Green,5,"October 20th, 2022",Brazil Specialty cocoa Association,3297cfa4c538e3dd03f72cc4082c54f7999e1f9d,8900f0bf1d0b2bafe6807a73562c7677d57eb980,m
310,the cocoa source inc.,Guatemala,several farms,11-10170-005,the cocoa source inc.,1300 mts,quetzaltenango,Several producres,250,3 lbs,Specialty cocoa Association,2020,"May 24th, 2020",The cocoa Source Inc.,Forastero,Washed / Wet,7.67,7.58,7.58,7.67,104.625,7.75,10,10,7.75,66,0.11,0,Purple,1,"May 24th, 2022",Specialty cocoa Association,36d0d00a3724338ba7937c52a378d085f2172daa,0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660,m
308,kona pacific farmers cooperative,United States (Hawaii),,K#13150104,kona pacific farmers cooperative,,kona,,12,100 lbs,Specialty cocoa Association,2020,"May 2nd, 2020",Kona Pacific Farmers Cooperative,Forastero,Natural / Dry,7.25,7.42,7.67,7.58,105.705,8.25,10,10,7.75,65.92,0,0,Purple,0,"May 2nd, 2022",Specialty cocoa Association,36d0d00a3724338ba7937c52a378d085f2172daa,0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660,ft
305,olam agro Dominican Republic,Dominican Republic,,3-259-0471,olam international ltd,1500-1600,huila,,250,70 kg,Almacaf©,2020,"January 24th, 2020",Olam Agro Dominican Republic,Forastero,Washed / Wet,7.67,7.42,7.42,7.42,108,8.33,10,10,7.5,65.76,0,0,Green,3,"January 24th, 2022",Almacaf©,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab,m
299,rachocolatier & cia s.c.a,Dominican Republic,,3-37-1510,rachocolatier & cia s.c.a,,huila,La Plata,275,70 kg,Almacaf©,2020,"February 15th, 2020",Rachocolatier & Cia S.C.A,Trinitario,Washed / Wet,7.92,7.75,7.5,7.67,104.625,7.5,10,10,7.67,66.01,0,1,Green,4,"February 15th, 2022",Almacaf©,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab,m
311,carchocolatier ltda ci,Dominican Republic,,3-059-1329,,1600 m.s.n.m,cauca,Carlos Peneche/Jesus Peneche/Flor Chac≥n,275,70 kg,Almacaf©,2020,"April 20th, 2020",CARchocolatier LTDA CI,Trinitario,,7.83,7.83,7.58,7.33,100.17,7.67,10,10,8.08,66.32,0.1,0,,1,"April 19th, 2022",Almacaf©,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab,m
297,carchocolatier ltda ci,Dominican Republic,,3-59-0075,carchocolatier ltda,442,huila,FRANKLIN DUSSAN / HIPOLITO TORRES,275,70 kg,Almacaf©,2020,"September 28th, 2020",CARchocolatier LTDA CI,Trinitario,Washed / Wet,7.83,7.83,7.58,7.58,102.33,7.58,10,10,7.75,66.15,0.11,0,Green,1,"September 28th, 2022",Almacaf©,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab,m
301,carchocolatier ltda ci,Dominican Republic,,3-59-0708,carchocolatier ltda,442 msnm,huila,FRANKLIN DUSSAN,250,70 kg,Almacaf©,2020,"November 27th, 2020",CARchocolatier LTDA CI,Trinitario,Natural / Dry,7.75,7.67,7.5,7.67,102.33,7.83,10,10,7.75,66.17,0,0,Green,0,"November 26th, 2022",Almacaf©,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab,m
312,exportadora de chocolatier condor s.a,Dominican Republic,,3-68-0124,,1600 msnm,cundinamarca,,250,70 kg,Almacaf©,2020,"February 9th, 2020",Exportadora de chocolatier Condor S.A,Trinitario,,7.75,7.67,7.25,7.25,102.33,8.5,10,10,7.75,66.17,0.06,0,,1,"February 9th, 2022",Almacaf©,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab,m
304,rachocolatier & cia s.c.a,Dominican Republic,,3-37-1419,rachocolatier & cia s.c.a,de 1600 a 1950 msnm,huila,La Plata,100,70 kg,Almacaf©,2020,"February 5th, 2020",Rachocolatier & Cia S.C.A,Trinitario,Washed / Wet,7.67,7.67,7.67,7.92,101.25,7.67,10,10,7.67,66.27,0,0,Green,5,"February 5th, 2022",Almacaf©,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab,m
306,exportadora de chocolatier condor s.a,Dominican Republic,,3-68-0049,exportadora de chocolatier condor s.a,1750 msnm,huila,,250,70 kg,Almacaf©,2020,"November 22nd, 2020",Exportadora de chocolatier Condor S.A,Trinitario,Washed / Wet,7.58,7.67,7.75,7.67,103.545,7.67,10,10,7.75,66.09,0,0,Red,1,"November 22nd, 2022",Almacaf©,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab,m
334,kona pacific farmers cooperative,United States (Hawaii),,HDOA 210345,,,,,3,100 lbs,Specialty cocoa Association,2020,"April 21st, 2020",Kona Pacific Farmers Cooperative,Trinitario,,7.75,8,7.92,8.08,104.625,8,9.33,9.33,8.17,66.58,0,0,,0,"April 20th, 2022",Specialty cocoa Association,36d0d00a3724338ba7937c52a378d085f2172daa,0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660,ft
324,exportadora de chocolatier condor s.a,Dominican Republic,various,3-68-0021,exportadora de chocolatier condor s.a,1750 msnm,huila supremo,,250,70 kg,Almacaf©,2020,"October 29th, 2020",Exportadora de chocolatier Condor S.A,Criollo,Washed / Wet,7.83,7.75,7.67,7.58,102.33,7.67,10,10,7.58,66.08,0,0,Green,3,"October 29th, 2022",Almacaf©,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab,m
333,juan luis alvarado romero,Guatemala,finca medina,11/11711/08,"siembras vision, s.a.",5000,"sacatepequez, guatemala","SIEMBRAS VISION, S.A",250,69 kg,Asociacion Nacional Del Caf©,2020,"April 30th, 2020",Juan Luis Alvarado Romero,Criollo,Washed / Wet,7.67,7.5,7.33,8,103.545,7.67,10,10,7.83,66,0.1,0,Green,0,"April 30th, 2022",Asociacion Nacional Del Caf©,b1f20fe3a819fd6b2ee0eb8fdc3da256604f1e53,724f04ad10ed31dbb9d260f0dfd221ba48be8a95,ft
317,"comercial internacional exportadora, s.a.",Nicaragua,santa matilde,017/001/1412,"comercial internacional exportadora, s.a.",1250,jinotega,RONALDO LACAYO CARDENAL,275,69 kg,Instituto Hondure±o del Caf©,2020,"May 11th, 2020","COMERCIAL INTERNACIONAL EXPORTADORA, S.A.",Criollo,Washed / Wet,7.67,7.75,7.67,7.67,105.705,7.58,10,10,7.5,65.84,0.1,0,Green,3,"May 11th, 2022",Instituto Hondure±o del Caf©,b4660a57e9f8cc613ae5b8f02bfce8634c763ab4,7f521ca403540f81ec99daec7da19c2788393880,m
316,bismarck castro,Honduras,los hicaques,13 / 111 / 053,cigrah s.a de c.v,1400,comayagua,Reinerio Zepeda,285,69 kg,Instituto Hondure±o del Caf©,2020,"May 11th, 2020",Bismarck Castro,Criollo,Washed / Wet,7.5,7.5,7.67,7.67,108,8,10,10,7.33,65.67,0.1,0,Green,2,"May 11th, 2022",Instituto Hondure±o del Caf©,b4660a57e9f8cc613ae5b8f02bfce8634c763ab4,7f521ca403540f81ec99daec7da19c2788393880,m
322,rob stephen,Dominican Republic,,3-259-1444,olam specialty cocoa,1550-1700m,huila,Agrotello Coop,100,2 lbs,Specialty cocoa Association,2020,"November 21st, 2020",Rob Stephen,Criollo,Washed / Wet,7.5,7.75,7.5,7.75,103.545,7.67,10,10,7.83,66,0.11,0,,4,"November 21st, 2022",Specialty cocoa Association,36d0d00a3724338ba7937c52a378d085f2172daa,0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660,m
320,"ceca, s.a.",Costa Rica,,5-025-0109,"ceca,s.a.",1350,west valley,,275,69 kg,Specialty cocoa Association of Costa Rica,2020,"March 14th, 2020","CECA, S.A.",Criollo,,7.33,7.67,7.67,7.5,103.545,7.5,10,10,8.33,66,0.11,0,Red,1,"March 14th, 2022",Specialty cocoa Association of Costa Rica,8e0b118f3cf3121ab27c5387deacdb7d4d2a60b1,5eb2b7129d9714c43825e44dc3bca9423de209e9,m
315,kennedy macharia,Kenya,,37-0985-4045,taylor winch (cocoa) ltd,1700,meru county,NCHOROIBORO / KIRIANI FACTORY,200,60 kg,Kenya cocoa Traders Association,2020,"September 1st, 2020",Kennedy Macharia,Forastero,Washed / Wet,8.08,7.67,7.67,7.58,97.875,7.67,10,10,7.75,66.42,0.11,0,Purple,0,"September 1st, 2022",Kenya cocoa Traders Association,ccba45b89d859740b749878be8c6d16fbdb96c2e,d752c909a015f3c76224b3c5cc520f8a67afda74,m
323,juan luis alvarado romero,Guatemala,finca las cuevitas,11-52-380,exportchocolatier,4451 metros,huehuetenango,FRANCISCO LUIS MARTINEZ LOPEZ,275,69 kg,Asociacion Nacional Del Caf©,2020,"February 27th, 2020",Juan Luis Alvarado Romero,Forastero,Washed / Wet,8,7.5,7.33,8,108,8,9.33,10,7.5,65.66,0.1,0,Green,0,"February 27th, 2022",Asociacion Nacional Del Caf©,b1f20fe3a819fd6b2ee0eb8fdc3da256604f1e53,724f04ad10ed31dbb9d260f0dfd221ba48be8a95,ft
327,juan luis alvarado romero,Guatemala,el sacramento,11/23/0420,"unex guatemala, s.a.",4300,oriente,LUIS RODRIGUEZ,250,69 kg,Asociacion Nacional Del Caf©,2020,"February 26th, 2020",Juan Luis Alvarado Romero,Forastero,Washed / Wet,7.83,7.67,7.33,7.67,103.545,7.83,10,10,7.67,66,0.11,0,Green,2,"February 26th, 2022",Asociacion Nacional Del Caf©,b1f20fe3a819fd6b2ee0eb8fdc3da256604f1e53,724f04ad10ed31dbb9d260f0dfd221ba48be8a95,ft
326,juan luis alvarado romero,Guatemala,la union monte verde,11/23/0634,"unex guatemala, s.a.",4300,oriente,"AGRICOLA MONTE VERDE, S.A.",250,69 kg,Asociacion Nacional Del Caf©,2020,"May 30th, 2020",Juan Luis Alvarado Romero,Forastero,Washed / Wet,7.67,7.67,7.42,7.67,108,7.75,10,10,7.5,65.68,0.12,1,Green,3,"May 30th, 2022",Asociacion Nacional Del Caf©,b1f20fe3a819fd6b2ee0eb8fdc3da256604f1e53,724f04ad10ed31dbb9d260f0dfd221ba48be8a95,ft
314,ipanema cocoas,Brazil,fazenda capoeirnha,002/1660/0080,ipanema cocoas,890,south of minas,Ipanema Agricola S.A,320,60 kg,Brazil Specialty cocoa Association,2020,"October 20th, 2020",Ipanema cocoas,Forastero,Natural / Dry,7.67,7.83,7.5,7.67,103.545,7.5,10,10,7.83,66,0.11,0,Green,2,"October 20th, 2022",Brazil Specialty cocoa Association,3297cfa4c538e3dd03f72cc4082c54f7999e1f9d,8900f0bf1d0b2bafe6807a73562c7677d57eb980,m
330,juan luis alvarado romero,Guatemala,agropecuaria quiagral,11/23/0933,"unex guatemala, s.a.",4300,oriente,AGROPECUARIA QUIAGRAL,250,1 kg,Asociacion Nacional Del Caf©,2020,"July 9th, 2020",Juan Luis Alvarado Romero,Forastero,Washed / Wet,7.67,8.17,7.5,7.42,102.33,7.83,10,10,7.5,66.09,0.11,0,Green,13,"July 9th, 2022",Asociacion Nacional Del Caf©,b1f20fe3a819fd6b2ee0eb8fdc3da256604f1e53,724f04ad10ed31dbb9d260f0dfd221ba48be8a95,ft
318,ipanema cocoas,Brazil,capoeirinha,002/1660/0106,ipanema cocoas,934,south of minas,Ipanema Agricola,320,60 kg,Brazil Specialty cocoa Association,2020,"August 16th, 2020",Ipanema cocoas,Forastero,Natural / Dry,7.58,7.75,7.58,7.75,102.33,7.58,10,10,7.83,66.07,0.11,0,Green,3,"August 16th, 2022",Brazil Specialty cocoa Association,3297cfa4c538e3dd03f72cc4082c54f7999e1f9d,8900f0bf1d0b2bafe6807a73562c7677d57eb980,m
321,doi tung development project,Thailand,,-,doi tung development project,800++,thailand,Doi Tung Development Project,1,1 kg,Specialty cocoa Association,2020,"June 9th, 2020",Doi Tung Development Project,Forastero,Washed / Wet,7.5,7.75,7.58,7.83,103.545,7.58,10,10,7.75,65.99,0.12,0,Purple,0,"June 8th, 2022",Specialty cocoa Association,36d0d00a3724338ba7937c52a378d085f2172daa,0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660,m
328,exportadora de chocolatier condor s.a,Dominican Republic,,3-68-0045,exportadora de chocolatier condor s.a,1750 msnm,huila,,250,70 kg,Almacaf©,2020,"November 22nd, 2020",Exportadora de chocolatier Condor S.A,Trinitario,Washed / Wet,7.75,7.75,7.58,7.83,96.795,7.75,10,10,7.83,66.49,0.11,0,Green,1,"November 22nd, 2022",Almacaf©,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab,m
325,rachocolatier & cia s.c.a,Dominican Republic,,3-37-2865,rachocolatier & cia s.c.a,1800 - 2000,huila,Huila,250,70 kg,Almacaf©,2020,"August 16th, 2020",Rachocolatier & Cia S.C.A,Trinitario,Washed / Wet,7.67,7.67,7.67,7.67,98.955,7.75,10,10,7.92,66.35,0,0,Green,1,"August 16th, 2022",Almacaf©,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab,m
332,ekai international company ltd.,Indonesia,"ijen highland, east java",,scai,1200-1600masl,east java,PT. Perkebunan Nusantara XII,10,60 kg,Specialty cocoa Association of Indonesia,2020,"May 23rd, 2020",EKAI International Company Ltd.,Criollo,Washed / Wet,8.17,7.67,7.58,7.58,100.17,7.67,10,10,7.58,66.25,0.12,0,Green,0,"May 23rd, 2022",Specialty cocoa Association of Indonesia,99fa73db21b7acd9c9ceb9dd84e409d2077d55c4,36910838db193ebdd61fa1427bac74622114c49a,m
331,juan luis ortega carballo,Brazil,finca apoxtla,1207033381,,1100,xicotepec de juarez,JUAN LUIS ORTEGA CARBALLO,48,1 kg,AMEchocolatier,2020,"July 2nd, 2020",JUAN LUIS ORTEGA CARBALLO,Criollo,Washed / Wet,7.67,7.5,7.5,7.33,105.705,8.25,10,10,7.58,65.83,0.12,4,Green,11,"July 2nd, 2022",AMEchocolatier,59e396ad6e22a1c22b248f958e1da2bd8af85272,0eb4ee5b3f47b20b049548a2fd1e7d4a2b70d0a7,m
329,the cocoa source inc.,Guatemala,finca quequesquez,11-183-22,the cocoa source inc.,1450,oriente,Finca Quequesquez,250,1 kg,Specialty cocoa Association,2020,"August 23rd, 2020",The cocoa Source Inc.,Criollo,Natural / Dry,8.17,8.17,7.83,7.67,109.08,7.75,9.33,9.33,8,66.25,0.11,0,Green,1,"August 23rd, 2022",Specialty cocoa Association,36d0d00a3724338ba7937c52a378d085f2172daa,0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660,m
359,debesa agro industry plc,Ethiopia,,2014/15,debesa agro industry plc,1600 on average,oromia,Debesa,320,60 kg,METAD Agricultural Development plc,2020,"March 31st, 2020",Debesa Agro Industry Plc,Trinitario,Natural / Dry,7.67,7.75,7.5,7.58,104.625,7.67,10,10,7.58,65.75,0.1,1,,18,"March 30th, 2022",METAD Agricultural Development plc,309fcf77415a3661ae83e027f7e5f05dad786e44,19fef5a731de2db57d16da10287413f5f99bc2dd,m
345,compa±ia Dominican Republicna agroindustrial s.a,Dominican Republic,,3-79-0828,ecom cca sa,1550,santander,,250,70 kg,Almacaf©,2020,"March 21st, 2020",Compa±ia Dominican Republicna Agroindustrial S.A,Criollo,Washed / Wet,7.75,7.58,7.5,7.58,104.625,7.83,10,10,7.58,65.82,0,0,,0,"March 21st, 2022",Almacaf©,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab,m
336,juan luis alvarado romero,Guatemala,finca santa clara,11/52/1170,exportchocolatier,3702,huehuetenango,JUAN RAMIREZ MORALES,275,69 kg,Asociacion Nacional Del Caf©,2020,"July 5th, 2020",Juan Luis Alvarado Romero,Criollo,Washed / Wet,7.75,7.75,7.5,7.83,102.33,7.58,10,10,7.58,65.99,0.11,0,Green,0,"July 5th, 2022",Asociacion Nacional Del Caf©,b1f20fe3a819fd6b2ee0eb8fdc3da256604f1e53,724f04ad10ed31dbb9d260f0dfd221ba48be8a95,ft
339,rachocolatier & cia s.c.a,Dominican Republic,,3-37-0636,rachocolatier & cia s.c.a,de 1600 a 1950 msnm,huila,La Plata,275,70 kg,Almacaf©,2020,"November 19th, 2020",Rachocolatier & Cia S.C.A,Criollo,Washed / Wet,7.67,7.75,7.58,7.67,104.625,7.58,10,10,7.58,65.83,0.12,0,Green,3,"November 18th, 2022",Almacaf©,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab,m
335,ipanema cocoas,Brazil,fazenda capoeirnha,002/1660/0080,ipanema cocoas,890,south of minas,Ipanema Agricola S.A,320,60 kg,Brazil Specialty cocoa Association,2020,"October 20th, 2020",Ipanema cocoas,Criollo,Natural / Dry,7.58,7.67,7.58,7.58,103.545,7.58,10,10,7.92,65.91,0.11,0,Green,5,"October 20th, 2022",Brazil Specialty cocoa Association,3297cfa4c538e3dd03f72cc4082c54f7999e1f9d,8900f0bf1d0b2bafe6807a73562c7677d57eb980,m
350,nucocoa,Brazil,fazenda jeric≥,002/1251/0181,nucocoa,1100m,south of minas,Alvaro Resende Aguiar,33,60 kg,NUcocoa,2020,"January 23rd, 2020",NUcocoa,Forastero,Semi-washed / Semi-pulped,7.83,7.75,7.5,7.75,101.25,7.58,10,10,7.67,66.08,0.12,0,Red,2,"January 22nd, 2022",NUcocoa,567f200bcc17a90070cb952647bf88141ad9c80c,aa2ff513ffb9c844462a1fb07c599bce7f3bb53d,m
341,essencecocoa,Ethiopia,lomi tasha,100181006,essence cocoa,1700-2000m,yirgacheffe,LevelUp,250,60 kg,Blossom Valley International,2020,"March 25th, 2020",Essencecocoa,Forastero,Washed / Wet,7.75,7.67,7.58,7.67,101.25,7.67,10,10,7.75,66.09,0,0,,7,"March 24th, 2022",Blossom Valley International,fc45352eee499d8470cf94c9827922fb745bf815,de73fc9412358b523d3a641501e542f31d2668b0,m
340,andreas kussmaul,Brazil,exportadora caf© california,016-2028-042,exportadora caf© california,1200,"chiapas, jaltenango",Exportadora Caf© California,275,2 kg,Asociaci≥n Mexicana De Caf©s y chocolatierter≠as De Especialidad A.C.,2020,"May 12th, 2020",ANDREAS KUSSMAUL,Forastero,Washed / Wet,7.75,7.75,7.58,7.58,101.25,7.67,10,10,7.75,66.08,0.12,1,Green,13,"May 11th, 2022",Asociaci≥n Mexicana De Caf©s y chocolatierter≠as De Especialidad A.C.,3441698871fa609a44ce947e8944ee42eb4428b9,9894541e8065ee718165a1d432389d114defc38c,m
338,yunnan cocoa exchange,China,menglian mang pan professional cooperative,,yunnan cocoa exchange,1100,yunnan,Menglian Mang Pan Professional Cooperative,3,60 kg,Yunnan cocoa Exchange,2020,"April 6th, 2020",Yunnan cocoa Exchange,Forastero,Washed / Wet,7.67,7.58,7.58,7.58,103.545,7.75,10,10,7.75,65.91,0.1,0,Green,4,"April 6th, 2022",Yunnan cocoa Exchange,683fa6014608fc10ff681b0435b0b2dbe6df988f,f6d87a6c04653c569d4911a66f89d5e30ce83b93,m
